Id,Date,TD1
1,28-Jun-16,203.7
1,30-Jun-16,207.7
1,14-Jul-16,181.35
1,16-Jul-16,208.85
1,31-Jul-16,218.01
1,01-Aug-16,208.01
1,02-Aug-16,223.06
1,09-Aug-16,193.17
1,09-Aug-16,206.18
1,10-Aug-16,187.75
1,10-Aug-16,202.69
1,21-Aug-16,190.71
1,21-Aug-16,202.25
1,22-Aug-16,191.53
1,29-Aug-16,205.76
1,20-Sep-16,193.76
1,20-Sep-16,202.15
1,21-Sep-16,194.69
1,09-Oct-16,194
1,13-Oct-16,192.19
1,16-Oct-16,193.87
1,18-Oct-16,192.63
1,31-Oct-16,181.34
1,07-Nov-16,183.46
1,14-Nov-16,183.62
1,21-Nov-16,183.05
1,08-Dec-16,189.67
1,12-Dec-16,160.23
1,20/12/2016,181.49
1,22/12/2016,184.05
1,01/03/2017,196
1,19/01/2017,194
1,25/01/2017,178
1,31/01/2017,177
1,02-Feb-17,192
1,13-Feb-17,183
1,02-Mar-17,174
1,09-Mar-17,181
1,16-Mar-17,189
1,23-Mar-17,179
1,30-Mar-17,188
1,06-Apr-17,180
1,13-Apr-17,198
1,20-Apr-17,189
1,18-May-17,196
1,25-May-17,198
1,01-Jun-17,190
1,08-Jun-17,191
1,15-Jun-17,191
1,03-Jul-17,192
1,10-Jul-17,194
1,17-Jul-17,198
1,24-Jul-17,192
1,31-Jul-17,194
1,07-Aug-17,193
1,14-Aug-17,194
1,21-Aug-17,191
1,28-Aug-17,187
1,04-Sep-17,183
1,11-Sep-17,188
1,18-Sep-17,186
1,25-Sep-17,190
1,02-Oct-17,193
1,09-Oct-17,182
1,10-Oct-17,196
1,23-Oct-17,179
1,30-Oct-17,180
1,09-Nov-17,177
1,16-Nov-17,175
1,23-Nov-17,183
1,04-Dec-17,173
1,14-Dec-17,176
1,21-Dec-17,183
1,04-Jan-18,175
1,11-Jan-18,176
1,18-Jan-18,167
1,25-Jan-18,164
1,05-Feb-18,171
1,12-Feb-18,166
1,19-Feb-18,108
1,26-Feb-18,171
1,05-Mar-18,175
1,12-Mar-18,181
1,19-Mar-18,179
1,26-Mar-18,178
1,05-Apr-18,187
1,12-Apr-18,189
1,19-Jul-18,186
1,02-Aug-18,189
1,10-Sep-18,190
1,04-Oct-18,178
1,01-Nov-18,173
1,10-Dec-18,177
1,03-Jan-19,165
1,18-Feb-19,168
1,04-Mar-19,167
1,01-Apr-19,180
1,09-May-19,185
1,10-Jun-19,183
