,Date,TD1,TD1New
0,2016-06-28,203.7,203.7
1,2016-06-29,,205.7
2,2016-06-30,207.7,207.7
3,2016-07-01,,205.81785714285712
4,2016-07-02,,203.93571428571428
5,2016-07-03,,202.05357142857142
6,2016-07-04,,200.17142857142855
7,2016-07-05,,198.2892857142857
8,2016-07-06,,196.40714285714284
9,2016-07-07,,194.52499999999998
10,2016-07-08,,192.64285714285714
11,2016-07-09,,190.76071428571427
12,2016-07-10,,188.87857142857143
13,2016-07-11,,186.99642857142857
14,2016-07-12,,185.1142857142857
15,2016-07-13,,183.23214285714286
16,2016-07-14,181.35,181.35
17,2016-07-15,,195.1
18,2016-07-16,208.85,208.85
19,2016-07-17,,209.46066666666667
20,2016-07-18,,210.0713333333333
21,2016-07-19,,210.682
22,2016-07-20,,211.29266666666666
23,2016-07-21,,211.90333333333334
24,2016-07-22,,212.51399999999998
25,2016-07-23,,213.12466666666666
26,2016-07-24,,213.73533333333333
27,2016-07-25,,214.346
28,2016-07-26,,214.95666666666665
29,2016-07-27,,215.56733333333332
30,2016-07-28,,216.178
31,2016-07-29,,216.78866666666667
32,2016-07-30,,217.39933333333332
33,2016-07-31,218.01,218.01
34,2016-08-01,208.01,208.01
35,2016-08-02,223.06,223.06
36,2016-08-03,,218.79
37,2016-08-04,,214.52
38,2016-08-05,,210.25
39,2016-08-06,,205.98
40,2016-08-07,,201.70999999999998
41,2016-08-08,,197.44
42,2016-08-09,193.17,193.17
43,2016-08-10,187.75,187.75
44,2016-08-11,,188.01909090909092
45,2016-08-12,,188.2881818181818
46,2016-08-13,,188.55727272727273
47,2016-08-14,,188.82636363636365
48,2016-08-15,,189.09545454545454
49,2016-08-16,,189.36454545454546
50,2016-08-17,,189.63363636363636
51,2016-08-18,,189.90272727272728
52,2016-08-19,,190.1718181818182
53,2016-08-20,,190.4409090909091
54,2016-08-21,190.71,190.71
55,2016-08-22,191.53,191.53
56,2016-08-23,,193.56285714285715
57,2016-08-24,,195.59571428571428
58,2016-08-25,,197.62857142857143
59,2016-08-26,,199.66142857142856
60,2016-08-27,,201.6942857142857
61,2016-08-28,,203.72714285714284
62,2016-08-29,205.76,205.76
63,2016-08-30,,205.21454545454546
64,2016-08-31,,204.6690909090909
65,2016-09-01,,204.12363636363636
66,2016-09-02,,203.5781818181818
67,2016-09-03,,203.03272727272727
68,2016-09-04,,202.4872727272727
69,2016-09-05,,201.94181818181818
70,2016-09-06,,201.39636363636362
71,2016-09-07,,200.85090909090908
72,2016-09-08,,200.30545454545452
73,2016-09-09,,199.76
74,2016-09-10,,199.21454545454546
75,2016-09-11,,198.6690909090909
76,2016-09-12,,198.12363636363636
77,2016-09-13,,197.5781818181818
78,2016-09-14,,197.03272727272727
79,2016-09-15,,196.4872727272727
80,2016-09-16,,195.94181818181818
81,2016-09-17,,195.39636363636362
82,2016-09-18,,194.85090909090908
83,2016-09-19,,194.30545454545455
84,2016-09-20,193.76,193.76
85,2016-09-21,194.69,194.69
86,2016-09-22,,194.65166666666667
87,2016-09-23,,194.61333333333334
88,2016-09-24,,194.575
89,2016-09-25,,194.53666666666666
90,2016-09-26,,194.49833333333333
91,2016-09-27,,194.46
92,2016-09-28,,194.42166666666665
93,2016-09-29,,194.38333333333333
94,2016-09-30,,194.345
95,2016-10-01,,194.30666666666667
96,2016-10-02,,194.26833333333335
97,2016-10-03,,194.23
98,2016-10-04,,194.19166666666666
99,2016-10-05,,194.15333333333334
100,2016-10-06,,194.115
101,2016-10-07,,194.07666666666665
102,2016-10-08,,194.03833333333333
103,2016-10-09,194.0,194.0
104,2016-10-10,,193.5475
105,2016-10-11,,193.095
106,2016-10-12,,192.64249999999998
107,2016-10-13,192.19,192.19
108,2016-10-14,,192.75
109,2016-10-15,,193.31
110,2016-10-16,193.87,193.87
111,2016-10-17,,193.25
112,2016-10-18,192.63,192.63
113,2016-10-19,,191.76153846153846
114,2016-10-20,,190.89307692307693
115,2016-10-21,,190.02461538461537
116,2016-10-22,,189.15615384615384
117,2016-10-23,,188.2876923076923
118,2016-10-24,,187.41923076923078
119,2016-10-25,,186.55076923076922
120,2016-10-26,,185.6823076923077
121,2016-10-27,,184.81384615384616
122,2016-10-28,,183.94538461538463
123,2016-10-29,,183.07692307692307
124,2016-10-30,,182.20846153846153
125,2016-10-31,181.34,181.34
126,2016-11-01,,181.64285714285714
127,2016-11-02,,181.9457142857143
128,2016-11-03,,182.24857142857144
129,2016-11-04,,182.55142857142857
130,2016-11-05,,182.8542857142857
131,2016-11-06,,183.15714285714287
132,2016-11-07,183.46,183.46
133,2016-11-08,,183.48285714285714
134,2016-11-09,,183.5057142857143
135,2016-11-10,,183.52857142857144
136,2016-11-11,,183.55142857142857
