Id,Date,Predicted,Historical,Difference,Percentage
1,03-01-2019,176.1563301,178.36,-2.2036699,-1%
1,03-02-2019,173.1519127,169.42,3.7319127,2%
1,03-03-2019,173.1950264,169.4,3.7950264,2%
1,03-04-2019,172.1819924,169.92,2.2619924,1%
1,03-05-2019,171.1258349,171.88,-0.7541651,0%
1,03-06-2019,174.2775021,173.84,0.4375021,0%
1,03-07-2019,176.1422535,175.8,0.3422535,0%
1,03-08-2019,176.78412,172.65,4.13412,2%
1,03-09-2019,174.9376318,171.05,3.8876318,2%
1,03-10-2019,177.6316013,172.08,5.5516013,3%
1,03-11-2019,180.2571301,165.72,14.5371301,9%
1,03-12-2019,180.6465475,170.07,10.5765475,6%
1,3/13/2019,182.037641,174.42,7.617641,4%
1,3/14/2019,179.9126708,178.77,1.1426708,1%
1,3/15/2019,178.8406553,175.54,3.3006553,2%
1,3/16/2019,178.1135203,178.73,-0.6164797,0%
1,3/17/2019,176.7087016,179.99,-3.2812984,-2%
1,3/18/2019,174.3986507,175.37,-0.9713493,-1%
1,3/19/2019,171.5709457,176.29,-4.7190543,-3%
1,3/20/2019,181.554708,177.21,4.344708,2%
1,3/21/2019,176.7922619,178.13,-1.3377381,-1%
1,3/22/2019,177.593286,178.61,-1.016714,-1%
1,3/23/2019,175.45411,180.93,-5.47589,-3%
1,3/24/2019,177.2009893,183.36,-6.1590107,-3%
1,3/25/2019,179.0408791,178.1,0.9408791,1%
1,3/26/2019,176.6299327,176.9733333,-0.3434006,0%
1,3/27/2019,177.6327892,175.8466667,1.7861225,1%
1,3/28/2019,178.3514418,174.72,3.6314418,2%
1,3/29/2019,179.6550504,177.46,2.1950504,1%
1,3/30/2019,179.9459365,177.92,2.0259365,1%
1,3/31/2019,181.357031,183.65,-2.292969,-1%
1,04-01-2019,182.7626059,181.08,1.6826059,1%
1,04-02-2019,184.1655509,184.4533333,-0.2877824,0%
1,04-03-2019,184.0371172,187.8266667,-3.7895495,-2%
1,04-04-2019,181.6154787,191.2,-9.5845213,-5%
1,04-05-2019,179.7894895,185.84,-6.0505105,-3%
1,04-06-2019,179.0375368,186.54,-7.5024632,-4%
1,04-07-2019,181.3602258,187.69,-6.3297742,-3%
1,04-08-2019,183.6774215,184.14,-0.4625785,0%
1,04-09-2019,185.9909948,183.5333333,2.4576615,1%
1,04-10-2019,186.4192957,182.9266667,3.492629,2%
1,04-11-2019,185.5602241,182.32,3.2402241,2%
1,04-12-2019,186.0411023,181.48,4.5611023,3%
1,4/13/2019,184.8678107,179.33,5.5378107,3%
1,4/14/2019,185.52882,179.32,6.20882,3%
1,4/15/2019,186.1855866,174.27,11.9155866,7%
1,4/16/2019,186.843752,178.87,7.973752,4%
1,4/17/2019,187.0552188,183.47,3.5852188,2%
1,4/18/2019,184.0602291,188.07,-4.0097709,-2%
1,4/19/2019,183.1611939,186.11,-2.9488061,-2%
1,4/20/2019,182.2238604,186.95,-4.7261396,-3%
1,4/21/2019,183.9385353,186.72,-2.7814647,-1%
1,4/22/2019,187.3281942,189.11,-1.7818058,-1%
1,4/23/2019,186.1546392,181.64,4.5146392,2%
1,4/24/2019,187.8092069,179.59,8.2192069,5%
1,4/25/2019,187.9490538,177.54,10.4090538,6%
1,4/26/2019,187.8509966,177.63,10.2209966,6%
1,4/27/2019,183.6378102,180.01,3.6278102,2%
1,4/28/2019,181.2886888,180.85,0.4386888,0%
1,4/29/2019,184.2713596,177.73,6.5413596,4%
1,4/30/2019,184.7808947,179.9428571,4.8380376,3%
1,05-01-2019,188.4424392,182.1557143,6.2867249,3%
1,05-02-2019,189.9138132,184.3685714,5.5452418,3%
1,05-03-2019,191.432313,186.5814286,4.8508844,3%
1,05-04-2019,185.4025804,188.7942857,-3.3917053,-2%
1,05-05-2019,186.1604777,191.0071429,-4.8466652,-3%
1,05-06-2019,187.7685321,193.22,-5.4514679,-3%
1,05-07-2019,188.6117702,187.5,1.1117702,1%
1,05-08-2019,191.7573723,188.78,2.9773723,2%
1,05-09-2019,191.5466367,181.42,10.1266367,6%
1,05-10-2019,191.6545662,183.4275,8.2270662,4%
1,05-11-2019,187.4833288,185.435,2.0483288,1%
1,05-12-2019,189.29219,187.4425,1.84969,1%
1,5/13/2019,191.5504302,189.45,2.1004302,1%
1,5/14/2019,188.1673291,187.67,0.4973291,0%
1,5/15/2019,189.4955954,189.6,-0.1044046,0%
1,5/16/2019,189.0186273,184.73,4.2886273,2%
1,5/17/2019,189.4265789,184.6825,4.7440789,3%
1,5/18/2019,189.1393203,184.635,4.5043203,2%
1,5/19/2019,190.8693464,184.5875,6.2818464,3%
1,5/20/2019,193.0275761,184.54,8.4875761,5%
1,5/21/2019,192.755654,186.5633333,6.1923207,3%
1,5/22/2019,192.5768577,188.5866667,3.990191,2%
1,5/23/2019,190.4065252,190.61,-0.2034748,0%
1,5/24/2019,187.7509976,188.21,-0.4590024,0%
1,5/25/2019,188.7518725,188.99,-0.2381275,0%
1,5/26/2019,190.4047847,189.81,0.5947847,0%
1,5/27/2019,192.0542826,191.6,0.4542826,0%
1,5/28/2019,193.7141987,187.8,5.9141987,3%
1,5/29/2019,194.3308113,192.55,1.7808113,1%
1,5/30/2019,194.0951916,197.3,-3.2048084,-2%
1,5/31/2019,187.787537,191.47,-3.682463,-2%
1,06-01-2019,189.2372628,191.43,-2.1927372,-1%
1,06-02-2019,191.5261444,191.19,0.3361444,0%
1,06-03-2019,188.8872173,189.05,-0.1627827,0%
1,06-04-2019,193.469544,192.45,1.019544,1%
1,06-05-2019,189.5942551,194.16,-4.5657449,-2%
1,06-06-2019,192.66743,193.78,-1.11257,-1%
1,06-07-2019,196.7465755,193.57,3.1765755,2%
1,06-08-2019,189.2768898,194.38,-5.1031102,-3%
1,06-09-2019,190.0692181,191.9,-1.8307819,-1%
1,06-10-2019,191.6594465,185.62,6.0394465,3%
1,06-11-2019,189.03806,190.46,-1.42194,-1%
1,06-12-2019,191.4214575,192.385,-0.9635425,-1%
1,6/13/2019,191.6076572,194.31,-2.7023428,-1%
1,6/14/2019,189.5368388,193.56,-4.0231612,-2%
1,6/15/2019,188.819733,194.55,-5.730267,-3%
1,6/16/2019,189.4528479,194.22,-4.7671521,-2%
1,6/17/2019,189.7136877,189.27,0.4436877,0%
1,6/18/2019,187.8672566,191.1,-3.2327434,-2%
1,6/19/2019,189.9244529,192.93,-3.0055471,-2%
1,6/20/2019,190.4872153,194.76,-4.2727847,-2%
1,6/21/2019,192.0169654,193.53,-1.5130346,-1%
1,6/22/2019,186.9441756,195.38,-8.4358244,-4%
1,6/23/2019,187.6398612,197.27,-9.6301388,-5%
1,6/24/2019,188.6440252,193.02,-4.3759748,-2%
1,6/25/2019,187.3516709,171.34,16.0116709,9%
1,6/26/2019,189.9743774,184.695,5.2793774,3%
1,6/27/2019,192.5961842,198.05,-5.4538158,-3%
1,6/28/2019,195.2253954,197.94,-2.7146046,-1%
1,6/29/2019,195.066526,198.19,-3.123474,-2%
1,6/30/2019,194.7999686,196.7,-1.9000314,-1%
1,07-01-2019,195.2615611,190.45,4.8115611,3%
1,07-02-2019,193.3271277,193.32,0.0071277,0%
1,07-03-2019,191.1071945,196.19,-5.0828055,-3%
1,07-04-2019,194.7581745,199.06,-4.3018255,-2%
1,07-05-2019,198.4177273,193.18,5.2377273,3%
1,07-06-2019,200.4166648,193.1,7.3166648,4%
1,07-07-2019,198.0691567,193.83,4.2391567,2%
1,07-08-2019,198.0602047,192.86,5.2002047,3%
1,07-09-2019,193.8698105,192.12,1.7498105,1%
1,07-10-2019,194.581309,195.48,-0.898691,0%
1,07-11-2019,197.7775201,198.84,-1.0624799,-1%
1,07-12-2019,200.9742079,193.75,7.2242079,4%
1,7/13/2019,196.1685864,194.82,1.3485864,1%
1,7/14/2019,194.1106433,194.07,0.0406433,0%
1,7/15/2019,194.0866446,191.1,2.9866446,2%
1,7/16/2019,195.1565093,194.2266667,0.9298426,0%
1,7/17/2019,193.5748825,197.3533333,-3.7784508,-2%
1,7/18/2019,193.8234959,200.48,-6.6565041,-3%
1,7/19/2019,193.7088391,194.3,-0.5911609,0%
1,7/20/2019,195.9863925,195.57,0.4163925,0%
1,7/21/2019,195.3446938,195.71,-0.3653062,0%
1,7/22/2019,196.1819127,189.64,6.5419127,3%
1,7/23/2019,197.2998994,192.9333333,4.3665661,2%
1,7/24/2019,195.7802302,196.2266667,-0.4464365,0%
1,7/25/2019,195.7341045,199.52,-3.7858955,-2%
1,7/26/2019,194.6664409,197.37,-2.7035591,-1%
1,7/27/2019,196.0656272,197.81,-1.7443728,-1%
1,7/28/2019,195.7400783,199.8,-4.0599217,-2%
1,7/29/2019,195.7391923,198.56,-2.8208077,-1%
