date,historicalData,predictedData,events
01/06/2016,44.21,,
02/06/2016,44.10555556,,
03/06/2016,44.00111111,,
04/06/2016,43.89666667,,5
05/06/2016,43.79222222,,
06/06/2016,43.68777778,,
07/06/2016,43.58333333,,
08/06/2016,43.47888889,,
09/06/2016,43.37444444,,
10/06/2016,43.27,,
11/06/2016,43.16555556,,10
12/06/2016,43.06111111,,
13/06/2016,42.95666667,,
14/06/2016,42.85222222,,
15/06/2016,42.74777778,,
16/06/2016,42.64333333,,
17/06/2016,42.53888889,,
18/06/2016,42.43444444,,
19/06/2016,42.33,,
20/06/2016,42.22555556,,
21/06/2016,42.12111111,,maintenance
22/06/2016,42.01666667,,
23/06/2016,41.91222222,,
24/06/2016,41.80777778,,
25/06/2016,41.70333333,,
26/06/2016,41.59888889,,
27/06/2016,41.49444444,,
28/06/2016,41.39,,
29/06/2016,42.435,,
30/06/2016,43.48,,
01/07/2016,42.81714286,,
02/07/2016,42.15428571,,15
03/07/2016,41.49142857,,
04/07/2016,40.82857143,,
05/07/2016,40.16571429,,
06/07/2016,39.50285714,,
07/07/2016,38.84,,
08/07/2016,38.17714286,,
09/07/2016,37.51428571,,
10/07/2016,36.85142857,,
11/07/2016,36.18857143,,
12/07/2016,35.52571429,,
13/07/2016,34.86285714,,
14/07/2016,34.2,,
15/07/2016,37.86,,
16/07/2016,41.52,,
17/07/2016,41.716,,
18/07/2016,41.912,,
19/07/2016,42.108,,
20/07/2016,42.304,,
21/07/2016,42.5,,
22/07/2016,42.696,,
23/07/2016,42.892,,
24/07/2016,43.088,,
25/07/2016,43.284,,
26/07/2016,43.48,,
27/07/2016,43.676,,
28/07/2016,43.872,,
29/07/2016,44.068,,
30/07/2016,44.264,,
31/07/2016,44.46,,
01/08/2016,39.81,,
02/08/2016,42.82,,
03/08/2016,43.27285714,,
04/08/2016,43.72571429,,
05/08/2016,44.17857143,,
06/08/2016,44.63142857,,
07/08/2016,45.08428571,,
08/08/2016,45.53714286,,
09/08/2016,45.99,,
10/08/2016,36.98,,
11/08/2016,36.77,,
12/08/2016,36.56,,
13/08/2016,36.35,,
14/08/2016,36.14,,
15/08/2016,35.93,,
16/08/2016,35.72,,
17/08/2016,35.51,,
18/08/2016,35.3,,
19/08/2016,35.09,,
20/08/2016,34.88,,
21/08/2016,34.67,,
22/08/2016,36.79,,
23/08/2016,38.18142857,,
24/08/2016,39.57285714,,
25/08/2016,40.96428571,,
26/08/2016,42.35571429,,
27/08/2016,43.74714286,,
28/08/2016,45.13857143,,
29/08/2016,46.53,,
30/08/2016,45.96318182,,
31/08/2016,45.39636364,,
01/09/2016,44.82954545,,
02/09/2016,44.26272727,,
03/09/2016,43.69590909,,
04/09/2016,43.12909091,,
05/09/2016,42.56227273,,
06/09/2016,41.99545455,,
07/09/2016,41.42863636,,
08/09/2016,40.86181818,,
09/09/2016,40.295,,
10/09/2016,39.72818182,,
11/09/2016,39.16136364,,
12/09/2016,38.59454545,,
13/09/2016,38.02772727,,
14/09/2016,37.46090909,,
15/09/2016,36.89409091,,
16/09/2016,36.32727273,,
17/09/2016,35.76045455,,
18/09/2016,35.19363636,,
19/09/2016,34.62681818,,
20/09/2016,34.06,,
21/09/2016,39.24,,
22/09/2016,39.18,,
23/09/2016,39.12,,
24/09/2016,39.06,,
25/09/2016,39,,
26/09/2016,38.94,,
27/09/2016,38.88,,
28/09/2016,38.82,,
29/09/2016,38.76,,
30/09/2016,38.7,,
01/10/2016,38.64,,
02/10/2016,38.58,,
03/10/2016,38.52,,
04/10/2016,38.46,,
05/10/2016,38.4,,
06/10/2016,38.34,,
07/10/2016,38.28,,
08/10/2016,38.22,,
09/10/2016,38.16,,
10/10/2016,37.3375,,
11/10/2016,36.515,,
12/10/2016,35.6925,,
13/10/2016,34.87,,
14/10/2016,33.87,,
15/10/2016,32.87,,
16/10/2016,31.87,,
17/10/2016,33.62,,
18/10/2016,35.37,,
19/10/2016,34.59076923,,
20/10/2016,33.81153846,,
21/10/2016,33.03230769,,
22/10/2016,32.25307692,,
23/10/2016,31.47384615,,
24/10/2016,30.69461538,,
25/10/2016,29.91538462,,
26/10/2016,29.13615385,,
27/10/2016,28.35692308,,
28/10/2016,27.57769231,,
29/10/2016,26.79846154,,
30/10/2016,26.01923077,,
31/10/2016,25.24,,
01/11/2016,25.79142857,,
02/11/2016,26.34285714,,
03/11/2016,26.89428571,,
04/11/2016,27.44571429,,
05/11/2016,27.99714286,,
06/11/2016,28.54857143,,
07/11/2016,29.1,,
08/11/2016,28.92571429,,
09/11/2016,28.75142857,,
